State,year,week,Total Positives
Texas,2013,6,283
Washington,2013,6,96
Arizona,2013,7,72
California,2013,7,153
Colorado,2013,7,136
Georgia,2013,7,229
Illinois,2013,7,10
New York,2013,7,227
Pennsylvania,2013,7,87
Texas,2013,7,126
Washington,2013,7,65
Arizona,2013,8,66
California,2013,8,144
Colorado,2013,8,77
Georgia,2013,8,199
Illinois,2013,8,8
New York,2013,8,214
Pennsylvania,2013,8,63
Texas,2013,8,132
Washington,2013,8,54
Arizona,2013,9,39
California,2013,9,103
Colorado,2013,9,52
Georgia,2013,9,226
Illinois,2013,9,9
New York,2013,9,169
Pennsylvania,2013,9,73
Texas,2013,9,111
Washington,2013,9,39
Arizona,2013,10,39
California,2013,10,83
Colorado,2013,10,58
Georgia,2013,10,224
Illinois,2013,10,1
New York,2013,10,148
Pennsylvania,2013,10,71
Texas,2013,10,108
Washington,2013,10,25
Arizona,2013,11,20
California,2013,11,75
Colorado,2013,11,38
Georgia,2013,11,154
Illinois,2013,11,11
New York,2013,11,167
Pennsylvania,2013,11,60
Texas,2013,11,76
Washington,2013,11,33
Arizona,2013,12,18
California,2013,12,39
Colorado,2013,12,31
Georgia,2013,12,157
Illinois,2013,12,4
New York,2013,12,158
Pennsylvania,2013,12,48
Texas,2013,12,50
Washington,2013,12,23
Arizona,2013,13,6
California,2013,13,25
Colorado,2013,13,13
Georgia,2013,13,109
Illinois,2013,13,7
New York,2013,13,145
Pennsylvania,2013,13,35
Texas,2013,13,34
Washington,2013,13,20
Arizona,2013,14,11
California,2013,14,15
Colorado,2013,14,9
Georgia,2013,14,123
Illinois,2013,14,10
New York,2013,14,88
Pennsylvania,2013,14,26
Texas,2013,14,34
Washington,2013,14,9
Arizona,2013,15,4
California,2013,15,1
Colorado,2013,15,9
Georgia,2013,15,67
Illinois,2013,15,4
New York,2013,15,72
Pennsylvania,2013,15,17
Texas,2013,15,21
Washington,2013,15,9
Arizona,2013,16,1
California,2013,16,14
Colorado,2013,16,8
Georgia,2013,16,29
Illinois,2013,16,9
New York,2013,16,44
Pennsylvania,2013,16,9
Texas,2013,16,14
Washington,2013,16,9
Arizona,2013,17,0
California,2013,17,8
Colorado,2013,17,2
Georgia,2013,17,15
Illinois,2013,17,4
New York,2013,17,26
Pennsylvania,2013,17,4
